Layer,Disputed_Amount,Primary_Amount,Txn_Day,Txn_Month,Txn_Hour,Txn_DayOfWeek,Txn_IsWeekend,Is_Disputed,Dispute_Ratio,Is_Full_Dispute,Sheet_Money Transfer to,Sheet_Other,Sheet_Others Less Then 500,Sheet_Transaction put on hold,Sheet_Withdrawal through ATM,Action_By_Bank_Code,Is_HighValue,Is_DeepChain,Amount_Gap,Txn_IsNight,Is_HoldTxn,Is_MoneyTransfer,is_fraud
7,164.18,1000.0,27,1,13,1,0,1,0.1642,0,1,0,0,0,0,1,0,1,835.8199999999999,0,0,1,0
6,2000.0,2000.0,25,1,21,6,1,1,1.0,1,1,0,0,0,0,101,0,1,0.0,0,0,1,1
6,1238.0,13620.0,28,1,10,2,0,1,0.0909,0,1,0,0,0,0,9,1,1,12382.0,0,0,1,1
4,417.01,500.0,6,1,11,1,0,1,0.834,0,1,0,0,0,0,44,0,1,82.99000000000001,0,0,1,1
7,1240.04,2000.0,28,1,14,2,0,1,0.62,0,1,0,0,0,0,65,0,1,759.96,0,0,1,0
5,450.7,1500.0,31,12,12,2,0,1,0.3005,0,1,0,0,0,0,9,0,1,1049.3,0,0,1,0
2,2000.0,2000.0,16,2,12,0,0,1,1.0,1,1,0,0,0,0,36,0,0,0.0,0,0,1,0
4,711.53,2000.0,5,1,16,0,0,1,0.3558,0,1,0,0,0,0,41,0,1,1288.47,0,0,1,0
4,818.4,1000.0,23,3,10,0,0,1,0.8184,0,0,0,0,1,0,95,0,1,181.60000000000002,0,1,0,0
4,818.4,20.46,23,3,10,0,0,1,40.0,0,0,0,0,1,0,9,0,1,0.0,0,1,0,0
4,937.0,937.0,20,1,9,1,0,1,1.0,1,1,0,0,0,0,10,0,1,0.0,0,0,1,1
4,818.4,3000.0,2,1,12,4,0,1,0.2728,0,0,0,0,1,0,36,0,1,2181.6,0,1,0,0
5,499.35,499.35,27,12,23,5,1,1,1.0,1,1,0,0,0,0,78,0,1,0.0,1,0,1,1
4,30.0,30.0,26,1,0,0,0,1,1.0,1,1,0,0,0,0,11,0,1,0.0,1,0,1,0
4,818.4,1498.0,6,3,0,4,0,1,0.5463,0,0,0,0,1,0,93,0,1,679.6,1,1,0,0
5,4500.0,4500.0,27,12,16,5,1,1,1.0,1,1,0,0,0,0,95,0,1,0.0,0,0,1,0
4,818.4,0.87,31,12,13,2,0,1,940.6897,0,0,0,0,1,0,78,0,1,0.0,0,1,0,0
10,500.0,500.0,4,1,8,6,1,1,1.0,1,1,0,0,0,0,101,0,1,0.0,0,0,1,1
4,818.4,4.0,23,3,10,0,0,1,204.6,0,0,0,0,1,0,70,0,1,0.0,0,1,0,0
5,1000.0,100007.0,21,1,0,2,0,1,0.01,0,1,0,0,0,0,38,1,1,99007.0,1,0,1,0
3,398.0,398.0,26,1,0,0,0,1,1.0,1,1,0,0,0,0,44,0,1,0.0,1,0,1,0
6,170.0,2631.0,27,1,1,1,0,1,0.0646,0,1,0,0,0,0,34,0,1,2461.0,1,0,1,0
5,51.2,100.0,27,12,0,5,1,1,0.512,0,1,0,0,0,0,68,0,1,48.8,1,0,1,0
4,16300.0,21000.0,21,1,0,2,0,1,0.7762,0,1,0,0,0,0,16,1,1,4700.0,1,0,1,0
5,550.0,550.0,5,1,19,0,0,1,1.0,1,1,0,0,0,0,63,0,1,0.0,0,0,1,1
7,600.0,615.0,7,1,0,2,0,1,0.9756,0,1,0,0,0,0,6,0,1,15.0,1,0,1,1
8,1000.0,30000.0,2,2,11,0,0,1,0.0333,0,1,0,0,0,0,6,1,1,29000.0,0,0,1,1
5,221.0,221.0,1,1,0,3,0,1,1.0,1,1,0,0,0,0,101,0,1,0.0,1,0,1,1
4,818.4,698.88,7,1,12,2,0,1,1.171,0,0,0,0,1,0,78,0,1,0.0,0,1,0,0
4,818.4,800.0,28,2,12,5,1,1,1.023,0,0,0,0,1,0,10,0,1,0.0,0,1,0,0
4,400.19,500.0,26,12,10,4,0,1,0.8004,0,1,0,0,0,0,9,0,1,99.81,0,0,1,0
3,1501.0,1501.0,5,1,10,0,0,1,1.0,1,1,0,0,0,0,6,0,1,0.0,0,0,1,0
4,499.63,499.63,5,1,17,0,0,1,1.0,1,1,0,0,0,0,1,0,1,0.0,0,0,1,1
5,1000.0,7020.0,12,1,12,0,0,1,0.1425,0,1,0,0,0,0,9,0,1,6020.0,0,0,1,0
2,50000.0,240003.0,5,1,23,0,0,1,0.2083,0,1,0,0,0,0,18,1,0,190003.0,1,0,1,0
4,500.0,500.0,26,1,0,0,0,1,1.0,1,1,0,0,0,0,30,0,1,0.0,1,0,1,1
5,10300.0,10300.0,31,12,10,2,0,1,1.0,1,1,0,0,0,0,101,1,1,0.0,0,0,1,1
4,1000.0,1000.0,1,2,8,6,1,1,1.0,1,1,0,0,0,0,78,0,1,0.0,0,0,1,1
5,10300.0,10300.0,31,12,10,2,0,1,1.0,1,1,0,0,0,0,101,1,1,0.0,0,0,1,1
3,500.0,500.0,28,12,0,6,1,1,1.0,1,1,0,0,0,0,6,0,1,0.0,1,0,1,0
4,794.09,1999.98,29,12,7,0,0,1,0.397,0,1,0,0,0,0,11,0,1,1205.8899999999999,0,0,1,0
4,818.4,500.0,6,3,12,4,0,1,1.6368,0,0,1,0,0,0,9,0,1,0.0,0,0,0,0
